Element,Year,Sum of Fertilizers (Tonnes),Sum of GHGe (kTonnes),Sum of Fertilizers (kTonnes),GHGe/Fertilizers per (kTonnes)
Agricultural Use,1961,316114,2402.1582,316.114,7.599025035
Agricultural Use,1962,315000,2215.4,315,7.033015873
Agricultural Use,1963,345852,2207.6128,345.852,6.383114164
Agricultural Use,1964,360692,1918.9129,360.692,5.320087221
Agricultural Use,1965,336466,2228.2826,336.466,6.622608525
Agricultural Use,1966,423269,2655.0572,423.269,6.272741921
Agricultural Use,1967,486491,3074.4878,486.491,6.319721845
Agricultural Use,1968,478460,3167.1246,478.46,6.619413535
Agricultural Use,1969,534589,3546.0024,534.589,6.633137607
Agricultural Use,1970,562902,3938.4273,562.902,6.996648262
Agricultural Use,1971,598200,3845.9344,598.2,6.429178201
Agricultural Use,1972,647702,4127.1241,647.702,6.371948983
Agricultural Use,1973,757094,4555.2612,757.094,6.016770969
Agricultural Use,1974,848393,4955.595,848.393,5.841154984
Agricultural Use,1975,865498,5180.4692,865.498,5.985535726
Agricultural Use,1976,643263,4001.9984,643.263,6.221403065
Agricultural Use,1977,736130,4296.6574,736.13,5.836818768
Agricultural Use,1978,870901,5113.254,870.901,5.871223021
Agricultural Use,1979,851138,4917.0803,851.138,5.777065881
Agricultural Use,1980,803050,4953.9002,803.05,6.168856485
Agricultural Use,1981,768751,4783.4696,768.751,6.222391386
Agricultural Use,1982,614100,3418.3622,614.1,5.566458557
Agricultural Use,1983,717600,4069.6898,717.6,5.671251115
Agricultural Use,1984,778100,4450.7384,778.1,5.720008225
Agricultural Use,1985,836800,4719.9097,836.8,5.640427462
Agricultural Use,1986,863400,4822.9257,863.4,5.585969076
Agricultural Use,1987,904400,4972.4652,904.4,5.498081822
Agricultural Use,1988,921100,5096.5276,921.1,5.533088264
Agricultural Use,1989,978044,5602.1262,978.044,5.727887702
Agricultural Use,1990,957702,10502.9832,957.702,10.96685942
Agricultural Use,1991,927700,10165.9032,927.7,10.95817958
Agricultural Use,1992,963700,10250.7294,963.7,10.63684694
Agricultural Use,1993,973700,10071.8485,973.7,10.34389288
Agricultural Use,1994,960000,10145.6328,960,10.5683675
Agricultural Use,1995,979029,10183.9813,979.029,10.40212425
Agricultural Use,1996,908907,10021.4779,908.907,11.02585622
Agricultural Use,1997,992000,10697.2661,992,10.78353438
Agricultural Use,1998,867000,10158.4759,867,11.71681188
Agricultural Use,1999,821085,10027.9662,821.085,12.2130671
Agricultural Use,2000,783337,9861.2794,783.337,12.58880839
Agricultural Use,2001,716603,9513.7688,716.603,13.27620565
Agricultural Use,2002,699681.65,11949.8598,699.68165,17.07899557
Agricultural Use,2003,708470.37,12190.2394,708.47037,17.20642093
Agricultural Use,2004,749133.14,7451.1264,749.13314,9.946331302
Agricultural Use,2005,785603.77,7952.7113,785.60377,10.12305644
Agricultural Use,2006,540323.95,6302.0094,540.32395,11.66339082
Agricultural Use,2007,648781.24,7060.0007,648.78124,10.88194335
Agricultural Use,2008,476511.63,10921.7556,476.51163,22.92022883
Agricultural Use,2009,520105.65,8522.3586,520.10565,16.385822
Agricultural Use,2010,497735.13,8797.6193,497.73513,17.67530313
Agricultural Use,2011,501930.49,8564.4874,501.93049,17.06309453
Agricultural Use,2012,535549.04,9599.3334,535.54904,17.92428458
Agricultural Use,2013,515596.09,8442.8468,515.59609,16.37492402
Agricultural Use,2014,510582.24,8174.971,510.58224,16.0110759
Agricultural Use,2015,494726.83,7036.2616,494.72683,14.22251872
Agricultural Use,2016,498971.72,7213.4952,498.97172,14.45672152
Agricultural Use,2017,493621.75,7756.7932,493.62175,15.71404258
Agricultural Use,2018,504709.95,7723.7642,504.70995,15.30337216
Agricultural Use,2019,499948.36,8630.0495,499.94836,17.26188181
Agricultural Use,2020,490078.95,8128.4392,490.07895,16.58597906
