Entity,Code,Year,"GHG emissions per 1000kcal (Poore & Nemecek, 2018)",Category
Apples,,2010,0.895833333,veggies
Bananas,,2010,1.433333333,veggies
Barley,,2010,0.236,veggies
Beef (beef herd),,2010,36.43956044,meat
Beef (dairy herd),,2010,12.1978022,meat
Beet Sugar,,2010,0.515669516,veggies
Berries & Grapes,,2010,2.684210526,veggies
Brassicas,,2010,3,veggies
Cane Sugar,,2010,0.911680912,veggies
Cassava,,2010,1.35523614,veggies
Cheese,,2010,6.170542636,meat
Citrus Fruit,,2010,1.21875,veggies
Coffee,,2010,50.94642857,veggies
Dark Chocolate,,2010,9.023210832,veggies
Eggs,,2010,3.243055556,meat
Fish (farmed),,2010,7.61452514,meat
Groundnuts,,2010,0.556896552,veggies
Lamb & Mutton,,2010,12.52996845,meat
Maize,,2010,0.375898286,veggies
Milk,,2010,5.25,meat
Nuts,,2010,0.069918699,veggies
Oatmeal,,2010,0.945482272,veggies
Olive Oil,,2010,0.613122172,veggies
Onions & Leeks,,2010,1.351351351,veggies
Other Pulses,,2010,0.524926686,veggies
Palm Oil,,2010,0.828054299,veggies
Peas,,2010,0.283236994,veggies
Pig Meat,,2010,5.150627615,meat
Potatoes,,2010,0.628415301,veggies
Poultry Meat,,2010,5.335135135,meat
Prawns (farmed),,2010,26.08737864,meat
Rapeseed Oil,,2010,0.426470588,veggies
Rice,,2010,1.207270754,veggies
Root Vegetables,,2010,1.162162162,veggies
Sunflower Oil,,2010,0.407239819,veggies
Tofu,,2010,1.166051661,veggies
Tomatoes,,2010,11,veggies
Wheat & Rye,,2010,0.586843492,veggies
