name,price,unit,type,unit_int,unit_str,avg,cost_per,foodKind
안심,15041,100g,protein,100,(1g당),150.41,150.41,meat
등심,15330,100g,protein,100,(1g당),153.3,153.3,meat
설도,5187,100g,protein,100,(1g당),51.87,51.87,meat
양지,7067,100g,protein,100,(1g당),70.67,70.67,meat
소갈비,7834,100g,protein,100,(1g당),78.34,78.34,meat
돼지앞다리,1312,100g,protein,100,(1g당),13.12,13.12,meat
삼겹살,2540,100g,protein,100,(1g당),25.4,25.4,meat
돼지갈비,1409,100g,protein,100,(1g당),14.09,14.09,meat
돼지목심,2389,100g,protein,100,(1g당),23.89,23.89,meat
소갈비(수입),4128,100g,protein,100,(1g당),41.28,41.28,meat
소갈비살(수입),4621,100g,protein,100,(1g당),46.21,46.21,meat
삼겹살(수입),1562,100g,protein,100,(1g당),15.62,15.62,meat
닭고기,5424,1kg,protein,1,(1kg당),5424.0,5.424,meat
고구마,5166,1kg,vegetable,1,(1kg당),5166.0,5.166,vegetable
감자,422,100g,vegetable,100,(1g당),4.22,4.22,vegetable
시금치,7380,1kg,vegetable,1,(1kg당),7380.0,7.38,vegetable
적상추,824,100g,vegetable,100,(1g당),8.24,8.24,vegetable
청상추,894,100g,vegetable,100,(1g당),8.94,8.94,vegetable
얼갈이배추,2525,1kg,vegetable,1,(1kg당),2525.0,2.525,vegetable
갓,4558,1kg,vegetable,1,(1kg당),4558.0,4.558,vegetable
토마토,5807,1kg,vegetable,1,(1kg당),5807.0,5.807,vegetable
당근,3757,1kg,vegetable,1,(1kg당),3757.0,3.757,vegetable
열무,2791,1kg,vegetable,1,(1kg당),2791.0,2.791,vegetable
풋고추,1184,100g,vegetable,100,(1g당),11.84,11.84,vegetable
마늘,11232,1kg,vegetable,1,(1kg당),11232.0,11.232,vegetable
양파,2839,1kg,vegetable,1,(1kg당),2839.0,2.839,vegetable
파,3403,1kg,vegetable,1,(1kg당),3403.0,3.403,vegetable
생강,11577,1kg,vegetable,1,(1kg당),11577.0,11.577,vegetable
미나리,1376,100g,vegetable,100,(1g당),13.76,13.76,vegetable
깻잎,2144,100g,vegetable,100,(1g당),21.44,21.44,vegetable
피망,982,100g,vegetable,100,(1g당),9.82,9.82,vegetable
파프리카,1152,200g,vegetable,200,(1g당),5.76,5.76,vegetable
방울토마토,8858,1kg,vegetable,1,(1kg당),8858.0,8.858,vegetable
바나나,325,100g,vegetable,100,(1g당),3.25,3.25,vegetable
